[2020-03-03T00:45:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:45:18+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:47:26+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:47:36+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:47:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:48:28+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:48:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:08+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:16+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:22+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:38+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:54+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:49:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:51:01+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:51:03+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:51:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:52:34+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:52:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:52:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:53:38+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:54:05+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:54:22+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:54:48+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:55:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:56:30+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:56:30+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:57:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:00:36+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:01:26+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:02:10+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:02:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:03:14+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:03:20+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:04:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:06:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:07:30+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:07:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:08:30+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:10:22+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:11:08+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:11:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:11:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:12:02+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:12:20+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:14:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:14:16+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:14:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:14:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:14:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:16:33+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:19:06+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:19:51+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:20:14+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:21:12+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:22:42+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:23:20+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:23:24+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:23:51+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:24:31+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:24:43+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:25:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:27:23+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:27:50+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:27:59+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:29:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:29:32+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:30:11+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:30:27+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:32:21+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:32:37+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:34:18+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:34:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:34:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:36:32+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:37:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:40:41+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:50:18+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:50:38+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:53:27+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T01:58:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:04:22+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:05:29+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:07:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:07:41+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:07:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:09:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:10:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T02:15:54+08:00][error] array_column() expects parameter 1 to be array, null given
